METRIC                                               LIMIT        USAGE
CPUS                                                 200.0        0.0
DISKS_TOTAL_GB                                       2048.0       0.0
SNAPSHOTS                                            1000.0       0.0
STATIC_ADDRESSES                                     8.0          0.0
IN_USE_ADDRESSES                                     8.0          0.0
SSD_TOTAL_GB                                         250.0        0.0
INSTANCE_TEMPLATES                                   300.0        0.0
LOCAL_SSD_TOTAL_GB                                   9.22337e+18  0.0
INSTANCE_GROUPS                                      100.0        0.0
INSTANCE_GROUP_MANAGERS                              150.0        0.0
INSTANCES                                            24.0         0.0
AUTOSCALERS                                          50.0         0.0
REGIONAL_AUTOSCALERS                                 50.0         0.0
REGIONAL_INSTANCE_GROUP_MANAGERS                     150.0        0.0
TARGET_TCP_PROXIES                                   10.0         0.0
PREEMPTIBLE_CPUS                                     0.0          0.0
NVIDIA_K80_GPUS                                      1.0          0.0
COMMITTED_CPUS                                       0.0          0.0
COMMITTED_LOCAL_SSD_TOTAL_GB                         0.0          0.0
COMMITMENTS                                          0.0          0.0
NETWORK_ENDPOINT_GROUPS                              100.0        0.0
INTERNAL_ADDRESSES                                   200.0        0.0
NVIDIA_P100_GPUS                                     1.0          0.0
PREEMPTIBLE_LOCAL_SSD_GB                             0.0          0.0
SSL_POLICIES                                         10.0         0.0
PREEMPTIBLE_NVIDIA_K80_GPUS                          1.0          0.0
PREEMPTIBLE_NVIDIA_P100_GPUS                         1.0          0.0
NVIDIA_P100_VWS_GPUS                                 1.0          0.0
NVIDIA_V100_GPUS                                     1.0          0.0
NVIDIA_P4_GPUS                                       1.0          0.0
NVIDIA_P4_VWS_GPUS                                   1.0          0.0
NODE_GROUPS                                          100.0        0.0
NODE_TEMPLATES                                       100.0        0.0
PREEMPTIBLE_NVIDIA_V100_GPUS                         1.0          0.0
PREEMPTIBLE_NVIDIA_P4_GPUS                           1.0          0.0
PREEMPTIBLE_NVIDIA_P100_VWS_GPUS                     1.0          0.0
PREEMPTIBLE_NVIDIA_P4_VWS_GPUS                       1.0          0.0
INTERCONNECT_ATTACHMENTS_PER_REGION                  16.0         0.0
INTERCONNECT_ATTACHMENTS_TOTAL_MBPS                  80000.0      0.0
RESOURCE_POLICIES                                    250.0        0.0
IN_USE_SNAPSHOT_SCHEDULES                            20.0         0.0
NVIDIA_T4_GPUS                                       1.0          0.0
